Date,Close
2013-03-21,224.941544
2013-03-22,222.943695
2013-03-25,224.538528
2013-03-26,221.940491
2013-03-28,223.055191
2013-04-01,225.490311
2013-04-02,223.166641
2013-04-03,219.188095
2013-04-04,213.306046
2013-04-05,210.853775
2013-04-08,206.335022
2013-04-09,206.335022
2013-04-10,212.525757
2013-04-11,214.729401
2013-04-12,216.812988
2013-04-15,221.940491
2013-04-16,233.790359
2013-04-17,236.174042
2013-04-18,245.125748
2013-04-22,247.140747
2013-04-23,247.766663
2013-04-25,257.815857
2013-04-26,254.892029
2013-04-29,253.014206
2013-04-30,255.980957
2013-05-02,259.976685
2013-05-03,252.911331
2013-05-06,250.330444
2013-05-07,257.910217
2013-05-08,255.466492
2013-05-09,249.370056
2013-05-10,252.071014
2013-05-13,249.001389
2013-05-14,251.659470
2013-05-15,258.724792
2013-05-16,262.531830
2013-05-17,263.277802
2013-05-20,262.326050
2013-05-21,260.756927
2013-05-22,259.453613
2013-05-23,249.550171
2013-05-24,250.579071
2013-05-27,253.485825
2013-05-28,251.830948
2013-05-29,250.304718
2013-05-30,245.691650
2013-05-31,245.322952
2013-06-03,245.374420
2013-06-04,239.303711
2013-06-05,237.040070
2013-06-06,243.187927
2013-06-07,236.354095
2013-06-10,232.409866
2013-06-11,226.827911
2013-06-12,218.553604
2013-06-13,217.901932
2013-06-14,222.592148
2013-06-17,225.687515
2013-06-18,220.637161
2013-06-19,220.371384
2013-06-20,212.611511
2013-06-21,216.024139
2013-06-24,213.168839
2013-06-25,211.179581
2013-06-26,214.086288
2013-06-27,218.656479
2013-06-28,227.256653
2013-07-01,231.303757
2013-07-02,224.392792
2013-07-03,219.136642
2013-07-04,216.924454
2013-07-05,237.805466
2013-07-08,231.251297
2013-07-09,233.429871
2013-07-10,232.026749
2013-07-11,237.750061
2013-07-12,238.451660
2013-07-15,241.654892
2013-07-16,227.244949
2013-07-17,220.386169
2013-07-18,228.601944
2013-07-19,220.053833
2013-07-22,221.567764
2013-07-23,222.075470
2013-07-24,207.730148
2013-07-25,208.117859
2013-07-26,204.471542
2013-07-29,202.763748
2013-07-30,201.794479
2013-07-31,191.003189
2013-08-01,200.465195
2013-08-02,203.677643
2013-08-05,207.582443
2013-08-06,201.212906
2013-08-07,197.317352
2013-08-08,200.428268
2013-08-12,197.631210
2013-08-13,210.979553
2013-08-14,212.244217
2013-08-16,193.661774
2013-08-19,182.408920
2013-08-20,181.171936
2013-08-21,180.553421
2013-08-22,179.021057
2013-08-23,181.208862
2013-08-26,172.457672
